course,due,title,time
Basic Statistics for Research,2022-09-06,Assignment Assignment: Academic Integrity Contract,11:58 PM
Basic Statistics for Research,2022-09-06,Quiz IT Readiness Survey - Please complete.,11:58 PM
Basic Statistics for Research,2022-09-06,Assignment LinkedIn Learning Confirmation,11:58 PM
Basic Statistics for Research,2022-09-06,Assignment Student Profile,11:59 PM
Basic Statistics for Research,2022-09-11,Discussion Topic Week 1 Discussion: Meet Your Learning Community,11:58 PM
Basic Statistics for Research,2022-09-18,Discussion Topic Week 2 Discussion: Force Field Analysis,11:58 PM
"Introduction to Gender, Race, and Sexuality",2022-09-21,Assignment Short Response I,11:59 PM
Basic Statistics for Research,2022-09-23,"Assignment Quiz A (chap 1,2 and 3)",4:00 PM
"Introduction to Gender, Race, and Sexuality",2022-09-23,Discussion Topic Discussion Activity: Feminisms and Feminist Movements,11:59 PM
"Introduction to Gender, Race, and Sexuality",2022-09-23,Discussion Topic Discussion Activity: Masculinity and Privilege,11:59 PM
Internet Technology,2022-09-23,Project 1,8:00 PM
"Introduction to Gender, Race, and Sexuality",2022-09-28,Discussion Topic Discussion Activity: Paris is Burning,11:59 PM
Internet Technology,2022-09-30,Problem Set 1,8:00 PM
Basic Statistics for Research,2022-10-02,Discussion Topic Week 4 Discussion: Cause and Effect Diagram,11:58 PM
Principles of Information and Data Management,2022-10-03,Simple SQL Queries,11:59 PM
"Introduction to Gender, Race, and Sexuality",2022-10-05,Discussion Topic Discussion Activity: The Social Construction of Race,11:59 PM
Basic Statistics for Research,2022-10-07,Assignment Quiz B (chapter 4),4:00 PM
Internet Technology,2022-10-07,Midterm 1,N/A
Principles of Information and Data Management,2022-10-10,SQL Queries II,11:59 PM
"Introduction to Gender, Race, and Sexuality",2022-10-12,Discussion Topic Discussion Activity: But I'm a Cheerleader,11:59 PM
Internet Technology,2022-10-14,Project 2,8:00 PM
Basic Statistics for Research,2022-10-16,"Assignment CDA (College Data Analysis) , Part 1 (2)",11:58 PM
Basic Statistics for Research,2022-10-21,Assignment Quiz C (Chapter 5 and 6),4:00 PM
"Introduction to Gender, Race, and Sexuality",2022-10-26,Discussion Topic Discussion Activity: Intersectionality,11:59 PM
Internet Technology,2022-10-28,Project 3,8:00 PM
Basic Statistics for Research,2022-10-30,Assignment Chapter 3 Homework,11:00 PM
Basic Statistics for Research,2022-10-30,Assignment Chapter 5 Homework,11:00 PM
Basic Statistics for Research,2022-10-30,Assignment Chapter 6 Homework,11:00 PM
Basic Statistics for Research,2022-10-30,Discussion Topic Week 8 Discussion: Thoughts about the Course at the Midpoint,11:58 PM
Basic Statistics for Research,2022-10-30,Assignment Chapter 1 Homework,11:59 PM
Basic Statistics for Research,2022-10-30,Assignment Chapter 2 Homework,11:59 PM
Basic Statistics for Research,2022-10-30,Assignment Chapter 4 Homework,11:59 PM
Basic Statistics for Research,2022-10-30,Assignment Chapter 4A Homework,11:59 PM
"Introduction to Gender, Race, and Sexuality",2022-11-02,Discussion Topic Lecture and Discussion Activity: Latin American Feminisms,11:59 PM
Basic Statistics for Research,2022-11-04,"Assignment Quiz D (chapters 7,8)",4:00 PM
Internet Technology,2022-11-04,Problem Set 2,8:00 PM
"Introduction to Gender, Race, and Sexuality",2022-11-09,Discussion Topic Discussion Activity: Asian American Feminisms,11:59 PM
Internet Technology,2022-11-11,Midterm 2,
Basic Statistics for Research,2022-11-18,"Assignment Quiz E (chapters 9,10)",4:00 PM
Internet Technology,2022-11-18,Project 4,8:00 PM
Basic Statistics for Research,2022-11-20,Discussion Topic Week 10 Discussion: Pareto Chart,11:58 PM
"Introduction to Gender, Race, and Sexuality",2022-11-23,Discussion Topic Discussion Activity: The Politics of Reproduction,11:59 PM
"Introduction to Gender, Race, and Sexuality",2022-11-30,Discussion Topic Discussion Activity: Weighted Bodies,11:59 PM
Internet Technology,2022-12-02,Project 5,8:00 PM
Basic Statistics for Research,2022-12-04,Discussion Topic Week 13 Discussion: Impact of the Course,11:58 PM
Basic Statistics for Research,2022-12-07,Assignment Chapter 10 Homework,11:59 PM
Basic Statistics for Research,2022-12-07,Assignment Chapter 11 Homework,11:59 PM
Basic Statistics for Research,2022-12-07,Assignment Chapter 12 Homework,11:59 PM
Basic Statistics for Research,2022-12-07,Assignment Chapter 7 Homework,11:59 PM
Basic Statistics for Research,2022-12-07,Assignment Chapter 8 Homework,11:59 PM
Basic Statistics for Research,2022-12-07,Assignment Chapter 9 Homework,11:59 PM
"Introduction to Gender, Race, and Sexuality",2022-12-07,Discussion Topic Discussion Activity: The Body and Labor,11:59 PM
"Introduction to Gender, Race, and Sexuality",2022-12-07,Discussion Topic Discussion Activity: Transnational Feminisms,11:59 PM
Basic Statistics for Research,2022-12-09,"Assignment Quiz F (chapter 11,12)",4:00 PM
Internet Technology,2022-12-09,Problem Set 3,8:00 PM
"Introduction to Gender, Race, and Sexuality",2022-12-23,Assignment Final Project,11:59 PM
Data Management for Data Science,2022-10-25,Exam 1,
Data Management for Data Science,2022-11-15,Exam 2,
Data Management for Data Science,2022-12-13,Final Exam,
Data Management for Data Science,2022-10-07,Homework 1,11:59 PM